Bitcoin	$42,290,258,355	$2577.15	$989,194,000
Ethereum	$29,586,112,824	$318.93	$738,488,000
Ripple	$11,701,886,400	$0.305601	$295,094,000
Litecoin	$2,298,523,872	$44.46	$338,225,000
Ethereum Classic	$1,822,898,326	$19.62	$83,736,500
NEM	$1,651,293,000	$0.183477	$7,871,900
Dash	$1,319,294,259	$178.70	$36,340,000
IOTA	$1,312,438,609	$0.472180	$16,647,500
BitShares	$802,472,687	$0.309082	$53,940,000
Stratis	$719,752,357	$7.31	$8,564,570
Monero	$683,507,997	$46.56	$8,073,910
Zcash	$541,616,576	$348.88	$15,769,900
Golem	$502,374,959	$0.605817	$8,360,760
Bytecoin	$485,602,142	$0.002653	$2,544,320
Waves	$479,627,000	$4.80	$2,261,290
Steem	$467,823,927	$1.99	$2,755,400
Siacoin	$459,206,535	$0.016886	$16,756,600
Iconomi	$373,644,990	$4.29	$2,634,780
Stellar Lumens	$368,965,759	$0.037848	$6,201,990
Lisk	$350,203,270	$3.22	$6,742,940
BitConnect	$349,565,249	$51.66	$2,260,820
Dogecoin	$337,307,985	$0.003068	$12,605,600
Augur	$316,037,700	$28.73	$2,552,720
AntShares	$306,638,500	$6.13	$29,904,900
Factom	$265,134,128	$30.29	$3,024,550
GameCredits	$263,070,048	$4.16	$4,138,130
Ardor	$257,764,847	$0.258023	$4,468,790
Gnosis	$236,103,903	$213.75	$1,262,660
MaidSafeCoin	$226,980,830	$0.501557	$2,481,670
DigiByte	$221,966,705	$0.025547	$9,487,150
Decred	$217,595,355	$41.98	$1,879,860
Komodo	$191,617,795	$1.90	$914,360
Byteball	$187,317,988	$733.17	$347,412
Basic Attenti...	$181,616,000	$0.181616	$2,236,120
DigixDAO	$175,115,200	$87.56	$615,763
Nxt	$174,600,222	$0.174775	$12,333,100
FirstBlood	$159,730,633	$1.87	$12,426,000
Numeraire	$154,650,352	$126.41	$20,006,400
Veritaseum	$154,384,911	$78.48	$473,243
MobileGo	$151,531,100	$2.16	$1,033,260
Tether	$147,160,855	$1.02	$86,560,700
SingularDTV	$126,191,400	$0.210319	$584,738
SysCoin	$115,850,373	$0.220383	$2,978,660
BitcoinDark	$109,918,678	$85.28	$529,193
PIVX	$103,751,357	$1.93	$1,019,180
Aragon	$86,775,934	$2.58	$1,033,540
Emercoin	$75,304,070	$1.87	$3,186,910
MCAP	$75,286,440	$4.82	$122,777
Ubiq	$75,132,160	$2.02	$572,569
Peercoin	$73,495,897	$3.04	$6,350,060
Peerplays	$67,055,580	$18.46	$1,214
Round	$65,895,145	$0.077524	$381,222
Lykke	$64,556,222	$0.394902	$641,177
Ark	$64,347,486	$0.671694	$645,505
iExec RLC	$54,438,502	$0.688478	$420,220
Storjcoin X	$53,700,074	$1.05	$504,329
ReddCoin	$53,483,357	$0.001874	$1,223,740
Quantum Resis...	$52,244,400	$1.00	$880,292
Melon	$51,103,825	$85.26	$310,605
LBRY Credits	$49,014,359	$0.715282	$3,991,560
Asch	$48,323,775	$0.644317	$1,495,150
LEOcoin	$47,542,316	$0.555716	$89,478
Wings	$46,974,961	$0.523641	$573,343
Synereo	$46,493,084	$0.565222	$1,173,320
Namecoin	$46,100,912	$3.13	$4,255,800
Nexus	$46,045,042	$0.912878	$124,023
Verge	$45,112,549	$0.003364	$1,632,710
Counterparty	$44,922,862	$17.16	$1,046,620
BitBay	$42,679,527	$0.042359	$944,210
BlackCoin	$41,957,219	$0.550529	$6,312,520
Edgeless	$41,582,534	$0.508759	$2,255,060
Mysterium	$40,001,252	$2.06	$1,456,450
ZCoin	$39,447,562	$16.41	$5,857,900
Omni	$38,896,591	$69.56	$4,528,400
Gulden	$38,599,435	$0.110962	$120,589
Viacoin	$37,262,338	$1.64	$1,611,990
Burst	$35,515,957	$0.019799	$8,514,800
MonaCoin	$35,130,142	$0.681152	$604,719
Vertcoin	$34,632,772	$0.933902	$4,434,220
CloakCoin	$33,723,828	$6.69	$543,096
Cofound.it	$33,209,125	$0.265673	$3,674,870
Xaurum	$31,832,490	$0.252060	$83,466
EarthCoin	$31,517,319	$0.003372	$17,035,400
Etheroll	$31,129,564	$4.45	$82,947
GridCoin	$30,197,366	$0.077367	$411,940
Blocknet	$29,426,823	$7.44	$162,268
OBITS	$28,964,731	$1.76	$258,036
YbCoin	$28,138,668	$9.32	$5,025,580
WeTrust	$28,039,010	$0.304284	$364,092
NAV Coin	$27,807,495	$0.452769	$408,230
vSlice	$27,330,321	$0.818506	$235,151
PotCoin	$27,316,438	$0.125767	$557,213
Humaniq	$26,328,807	$0.176158	$628,626
Matchpool	$25,898,250	$0.345310	$301,699
Expanse	$25,583,933	$3.44	$659,573
TokenCard	$25,418,069	$1.08	$364,840
LuckChain	$24,483,326	$0.033862	$6,675,760
E-Dinar Coin	$24,325,190	$0.027449	$381,099
DigitalNote	$23,599,223	$0.003429	$1,125,910
Energycoin	$23,421,115	$0.193559	$1,998,780
