Bitcoin	$114,169,870,833	$6844.65	$3,374,170,000
Ethereum	$32,117,791,339	$335.49	$1,060,910,000
Bitcoin Cash	$21,435,027,796	$1275.68	$1,554,240,000
Ripple	$8,039,620,836	$0.208157	$80,432,400
Litecoin	$3,380,590,398	$62.80	$166,312,000
Dash	$3,295,880,791	$428.64	$117,831,000
NEO	$1,933,301,500	$29.74	$42,306,000
Monero	$1,879,895,160	$122.44	$48,791,600
NEM	$1,767,735,000	$0.196415	$8,444,360
Ethereum Classic	$1,718,953,694	$17.64	$347,632,000
IOTA	$1,707,715,611	$0.614390	$39,245,200
Lisk	$872,860,916	$7.60	$31,636,900
Qtum	$849,484,593	$11.53	$67,514,700
OmiseGO	$797,790,099	$7.82	$24,660,300
EOS	$788,209,878	$1.67	$88,879,300
Zcash	$716,903,565	$273.36	$52,688,300
Cardano	$696,338,890	$0.026858	$3,319,670
Hshare	$655,664,633	$15.52	$12,992,900
Stellar Lumens	$642,435,358	$0.036265	$26,083,100
Tether	$597,796,087	$1.01	$410,879,000
BitConnect	$563,609,604	$263.60	$23,562,600
Waves	$505,253,000	$5.05	$20,911,200
Populous	$386,558,709	$9.37	$1,703,850
Stratis	$364,635,559	$3.70	$12,724,000
Ark	$316,277,706	$3.23	$6,006,530
Steem	$236,727,364	$0.960800	$1,117,610
BitShares	$228,928,743	$0.087982	$2,584,330
Ardor	$227,696,960	$0.227925	$1,001,420
Komodo	$224,671,393	$2.23	$3,190,350
Decred	$213,793,785	$34.69	$805,577
Bytecoin	$211,729,301	$0.001155	$2,829,690
Augur	$209,981,200	$19.09	$1,051,910
Electroneum	$207,582,630	$0.039963	$755,031
SALT	$190,283,985	$3.88	$4,126,630
MaidSafeCoin	$186,423,083	$0.411937	$1,962,020
Vertcoin	$180,556,790	$4.38	$6,694,850
TenX	$178,256,003	$1.70	$1,989,600
Golem	$177,642,408	$0.213248	$2,123,190
Gas	$174,156,164	$20.26	$680,687
PIVX	$173,262,473	$3.17	$389,144
MonaCoin	$167,649,345	$3.03	$4,409,570
Veritaseum	$163,344,848	$80.62	$476,730
Byteball Bytes	$161,190,664	$249.82	$689,503
TRON	$159,216,317	$0.002427	$3,975,110
Binance Coin	$157,575,830	$1.59	$6,663,370
DigixDAO	$155,294,600	$77.65	$238,556
Factom	$154,727,964	$17.69	$2,726,870
Basic Attenti...	$148,015,000	$0.148015	$3,084,930
Kyber Network	$146,915,543	$1.10	$2,090,120
BitcoinDark	$146,321,946	$113.53	$50,366
Dogecoin	$136,923,382	$0.001223	$2,723,890
Siacoin	$134,221,474	$0.004347	$1,930,460
Walton	$133,476,891	$5.36	$7,115,570
Syscoin	$125,480,041	$0.237258	$2,048,310
GameCredits	$116,336,457	$1.81	$1,172,150
Raiden Networ...	$115,839,500	$2.32	$6,514,910
Bytom	$112,462,728	$0.113944	$590,194
Metaverse ETP	$108,032,013	$2.97	$3,826,180
Blocknet	$107,438,261	$21.99	$221,334
Iconomi	$104,565,181	$1.05	$481,504
Status	$101,721,268	$0.029310	$2,251,830
Civic	$101,336,047	$0.295699	$1,421,380
0x	$100,554,500	$0.201109	$1,444,420
Bitquence	$94,390,748	$1.30	$2,172,870
Lykke	$94,381,686	$0.359745	$134,314
Power Ledger	$94,097,491	$0.269808	$47,719,300
GXShares	$91,912,734	$2.27	$2,314,360
Aeternity	$91,478,245	$0.392576	$559,944
Verge	$91,023,326	$0.006379	$2,041,180
Metal	$89,650,994	$4.64	$2,148,190
SingularDTV	$89,257,800	$0.148763	$1,475,540
DigiByte	$86,900,665	$0.009238	$3,194,050
Pura	$82,538,091	$0.480513	$276,300
ATMChain	$82,264,227	$0.028235	$380,620
Bancor	$82,244,996	$2.02	$2,393,390
ZCoin	$76,944,932	$22.40	$9,478,020
Open Trading ...	$76,306,673	$55.49	$18,683,900
Gnosis	$72,273,655	$65.43	$476,423
Nxt	$68,430,397	$0.068499	$3,817,440
B3Coin	$67,205,231	$0.000921	$1,076,470
VeChain	$66,775,407	$0.240925	$1,046,860
Particl	$66,596,752	$8.57	$948,017
ChainLink	$65,994,600	$0.188556	$2,142,320
Ripio Credit ...	$62,855,081	$0.129560	$7,322,460
FunFair	$61,703,600	$0.015426	$891,619
Storj	$60,869,680	$0.588038	$7,702,750
Monaco	$60,542,469	$6.17	$5,955,210
AdEx	$56,797,605	$0.992459	$3,560,780
ZenCash	$56,523,122	$23.02	$983,641
Bitdeal	$54,459,596	$0.310163	$576,945
Nexus	$53,203,301	$0.989562	$228,561
NAV Coin	$53,171,972	$0.857166	$869,648
Cryptonex	$53,156,721	$1.18	$114,920
Edgeless	$51,520,146	$0.627940	$545,920
FairCoin	$51,132,943	$0.961257	$16,102
KuCoin Shares	$51,068,064	$0.560922	$410,186
Streamr DATAcoin	$50,577,416	$0.074691	$661,379
Ubiq	$48,706,524	$1.25	$249,414
Wings	$48,088,511	$0.536054	$1,551,370
iExec RLC	$47,922,515	$0.606071	$802,311
